鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
前鎮區,車位,高雄市前鎮區二聖路61~90號,0.0,,,,1081227,土地0建物0車位1,,,其他,,,,22.52,0,0,0,有,無,950000,,坡道平面,22.5,950000,,RPUNMLKKJHPFFCE97CA
前鎮區,房地(土地+建物),高雄市前鎮區康寧街31~60號,24.45,住,,,1081210,土地2建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0771215,151.42000000000002,4,2,2,有,有,5000000,33021,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTPMLTJJHPFFCE88CA
小港區,房地(土地+建物),高雄市小港區桂陽路175巷6弄31~60號,64.0,住,,,1081231,土地3建物1車位0,全,二層,透天厝,住商用,加強磚造,0631112,84.36,3,1,2,有,無,3700000,43860,,0.0,0,包含公共設施保留地之交易。;,RPWOMLTJJHPFFCE09CA
小港區,房地(土地+建物),高雄市小港區永順街151~180號,5.68,商,,,1081217,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081002,57.120000000000005,2,2,2,有,有,3100000,54272,,0.0,0,含裝潢,RPXOMLTJJHPFFCE56CA
小港區,房地(土地+建物),高雄市小港區永順街151~180號,5.68,商,,,1071101,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1081002,57.120000000000005,2,2,2,有,有,3200000,56022,,0.0,0,含裝潢,RPUOMLTJJHPFFCE88CA
新興區,房地(土地+建物),高雄市新興區忠孝一路340巷1~30號,31.1,商,,,1081226,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0770919,82.58,3,2,2,有,無,3600000,43594,,0.0,0,,RPUNMLKKKHPFFBE97CA
新興區,房地(土地+建物),高雄市新興區中正四路31~60號,6.73,商,,,1081205,土地2建物1車位0,九層,十二層,套房(1房1廳1衛),,鋼筋混凝土造,0700911,55.17,0,0,0,無,有,2650000,48033,,0.0,0,,RPOOMLKMJHPFFBE57CA
苓雅區,土地,正明段91~120地號,56.49,商,,,1081226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8547500,151310,,0.0,0,雙方合意解除原買賣契約，賣方退還原價金，雙方以買賣為原因辦理所有權移轉登記,RPWNMLNKJHPFFBE38CA
苓雅區,房地(土地+建物),高雄市苓雅區苓南路1~30號,4.47,商,,,1081128,土地1建物1車位0,四層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830128,41.88,1,1,1,有,有,1900000,45368,,0.0,0,,RPOQMLLLJHPFFBE77CA
苓雅區,土地,成功段301~330地號,18.0,其他,,,1081230,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,140000,7778,,0.0,0,包含公共設施保留地之交易。;,RPRNMLKLJHPFFBE67CA
