,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
860,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,42.87,住,,,1070727,土地1建物1車位2,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,220.17,3,2,2,有,無,14600000,69840,坡道平面,56.94,3200000,,RPWRMLOKJHPFFAH09CA
861,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,42.87,住,,,1070907,土地1建物1車位2,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,220.17,3,2,2,有,無,14800000,71065,坡道平面,56.94,3200000,,RPXRMLOKJHPFFAH56CA
862,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,33.78,住,,,1070916,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,158.32999999999998,3,2,2,有,無,10330000,67996,坡道平面,28.47,1500000,,RPXNMLPKJHPFFAH88CA
863,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,33.78,住,,,1070407,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,158.32999999999998,3,2,2,有,無,10180000,66071,坡道平面,28.47,1600000,,RPUOMLPKJHPFFAH68CA
864,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,40.0,住,,,1080310,土地1建物1車位2,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,208.92000000000002,3,2,2,有,無,12880000,65009,坡道平面,56.94,3000000,,RPVOMLPKJHPFFAH78CA
865,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,39.48,住,,,1070415,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,180.45,3,2,2,有,無,11580000,66325,坡道平面,28.47,1500000,,RPWOMLPKJHPFFAH88CA
866,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,33.21,住,,,1070205,土地1建物1車位1,一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,153.64999999999998,3,2,2,有,無,10820000,73836,坡道平面,26.07,1400000,,RPXOMLPKJHPFFAH98CA
867,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,33.78,住,,,1080110,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,158.32999999999998,3,2,2,有,無,10730000,70306,坡道平面,28.47,1600000,,RPPPMLPKJHPFFAH28CA
868,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,24.12,住,,,1080216,土地1建物1車位1,二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,120.67,2,2,1,有,無,8020000,69631,坡道平面,28.47,1600000,,RPTPMLPKJHPFFAH68CA
869,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,25.06,住,,,1070526,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,121.88000000000001,2,2,1,有,無,7730000,65025,坡道平面,26.07,1500000,,RPWPMLPKJHPFFAH98CA
870,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,39.48,住,,,1070415,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,178.05,3,2,2,有,無,11680000,67640,坡道平面,26.07,1400000,,RPXPMLPKJHPFFAH09CA
873,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,42.87,住,,,1070505,土地1建物1車位2,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,220.17,3,2,2,有,無,14260000,67757,坡道平面,56.94,3200000,,RPUSMLOKJHPFFAH98CA
874,桃園區,房地(土地+建物)+車位,桃園市桃園區民富二街1~30號,28.61,住,,,1070203,土地1建物1車位2,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1081107,162.22,3,2,2,有,無,10960000,74851,坡道平面,54.54,2900000,,RPVSMLOKJHPFFAH09CA
