,鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
1053,五股區,房地(土地+建物),新北市五股區登林路61~90號,6.77,住,,,1081125,土地1建物1車位0,十二層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0900611,44.17,3,2,1,有,無,3500000,79239,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLTJJHPFFBF98CA
1079,土城區,房地(土地+建物),新北市土城區學府路一段91~120號,12.28,住,,,1081105,土地1建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820824,79.53,2,1,1,有,有,6700000,84245,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPTSMLNKJHPFFAF58CA
1083,板橋區,房地(土地+建物)+車位,新北市板橋區金門街67巷1~30號,15.78,住,,,1081206,土地1建物1車位1,七層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920117,123.01,3,2,2,有,有,10700000,86985,坡道平面,24.89,0,,RPWRMLSJJHPFFAF56CA
1086,土城區,房地(土地+建物),新北市土城區中華路一段31~60號,9.34,住,,,1081124,土地1建物1車位0,六層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,101.74,3,2,2,有,有,10900000,107136,,0.0,0,含增建或未登記建物。;,RPORMLSJJHPFFAF38CA
1090,板橋區,房地(土地+建物)+車位,新北市板橋區貴興路61~90號,20.12,住,,,1081124,土地1建物1車位1,七層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,183.75,3,2,2,有,有,19150000,104218,坡道平面,0.0,0,含增建或未登記建物。;,RPSNMLSJJHPFFAF38CA
1095,土城區,房地(土地+建物),新北市土城區立德路91~120號,5.56,其他,,,1081129,土地2建物1車位0,二十層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871123,80.28999999999999,2,2,1,有,有,8600000,107112,,0.0,0,含增建或未登記建物。;,RPRNMLTJJHPFFAF38CA
1098,板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段361~390號,11.99,住,,,1081117,土地1建物1車位1,四十三層,46.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,256.64,4,2,3,有,有,49000000,209025,坡道平面,33.7,2400000,含增建或未登記建物。;,RPXNMLTJJHPFFAF98CA
1102,板橋區,房地(土地+建物),新北市板橋區民生路三段301~330號,3.25,住,,,1081221,土地1建物1車位0,二十七層,37.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0950914,97.02,2,2,2,有,有,13200000,136054,,0.0,0,,RPROMLKKJHPFFAF67CA
1110,板橋區,房地(土地+建物)+車位,新北市板橋區中山路一段216巷1~30號,22.91,住,,,1081124,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020220,252.44,4,2,2,有,有,41800000,165584,坡道平面,25.45,0,,RPWPMLTJJHPFFAF09CA
1116,板橋區,房地(土地+建物)+車位,新北市板橋區雙十路一段1~30號,18.89,住,,,1081218,土地1建物1車位1,十層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980827,170.14,3,2,2,有,有,21000000,123428,坡道平面,38.76,0,陽台外推,RPSQMLKKJHPFFAF97CA
1138,新莊區,房地(土地+建物)+車位,新北市新莊區新樹路601~630號,14.87,商,,,1081212,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,127.21000000000001,2,2,1,有,無,9200000,72321,坡道平面,42.83,0,,RPOPMLNKJHPFFBF87CA
1140,新莊區,房地(土地+建物),新北市新莊區昌隆街61~90號,6.43,其他,,,1081207,土地1建物1車位0,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910819,59.7,1,1,1,有,有,7300000,122278,,0.0,0,含增建或未登記建物。;,RPOOMLKKJHPFFBF47CA
1144,新莊區,房地(土地+建物),新北市新莊區裕民街124巷1~30號,13.05,住,,,1081125,土地1建物1車位0,十一層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850619,81.96,2,2,1,有,有,8250000,100659,,0.0,0,,RPPPMLOKJHPFFBF08CA
1169,新莊區,房地(土地+建物),新北市新莊區新北大道七段451~480號,4.89,住,,,1081212,土地2建物1車位0,八層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880409,56.18,2,1,1,有,有,5200000,92543,,0.0,0,,RPUOMLNKKHPFFBF48CA
1184,新店區,房地(土地+建物),新北市新店區行政街31~60號,6.32,住,,,1081219,土地2建物1車位0,十二層,20.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880930,71.48,2,1,1,有,有,10200000,142697,,0.0,0,含增建或未登記建物。;,RPSOMLTJJHPFFCF78CA
1185,新店區,房地(土地+建物)+車位,新北市新店區北新路一段126巷1~30號,23.81,住,,,1081128,土地1建物1車位2,八層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1021226,298.96000000000004,3,2,3,有,有,45300000,151525,坡道平面,64.26,0,,RPVOMLTJJHPFFCF09CA
1186,新店區,房地(土地+建物),新北市新店區中興路二段121~150號,7.84,住,,,1081214,土地1建物1車位0,十二層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0980612,76.9,2,2,1,有,有,13500000,175553,,0.0,0,,RPQNMLTJJHPFFCF48CA
1187,新店區,房地(土地+建物),新北市新店區中央三街121~150號,9.52,住,,,1081202,土地1建物1車位0,十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0890105,121.47,1,2,0,有,有,15400000,126780,,0.0,0,含增建或未登記建物。;,RPRPMLKKJHPFFCF97CA
1209,汐止區,房地(土地+建物)+車位,新北市汐止區樟樹一路181~210號,11.67,住,,,1081126,土地1建物1車位1,一層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850209,88.00999999999999,4,2,2,有,有,9850000,111919,坡道平面,0.0,0,含增建或未登記建物。;,RPRNMLLJKHPFFDF97CA
1211,汐止區,房地(土地+建物),新北市汐止區湖前街61~90號,12.94,住,,,1081209,土地1建物1車位0,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831026,102.74000000000001,3,2,2,有,有,8800000,85653,,0.0,0,含增建或未登記建物。;,RPTPMLNJKHPFFDF58CA
1213,汐止區,房地(土地+建物)+車位,新北市汐止區大同路三段601~630號,8.53,住,,,1081123,土地1建物1車位1,二十一層,32.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,112.07,3,2,2,有,有,5700000,50861,坡道機械,0.0,0,,RPXPMLNJKHPFFDF98CA
1219,淡水區,房地(土地+建物),新北市淡水區新民街19巷61~90號,13.57,住,,,1081210,土地1建物1車位0,七層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891027,75.61,2,2,1,有,有,5500000,72742,,0.0,0,,RPQOMLKKJHPFFEF97CA
1221,淡水區,房地(土地+建物)+車位,新北市淡水區新市二路二段1~30號,21.11,住,,,1081203,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070227,141.49,2,1,2,有,有,8800000,65784,坡道平面,29.76,1450000,,RPPOMLOKJHPFFEF28CA
1222,淡水區,房地(土地+建物)+車位,新北市淡水區新市二路二段1~30號,26.26,住,,,1081203,土地1建物1車位1,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070227,170.59,3,2,2,有,有,10300000,63552,坡道平面,29.76,1350000,,RPROMLOKJHPFFEF48CA
1224,淡水區,房地(土地+建物)+車位,新北市淡水區新市二路三段151~180號,19.29,住,,,1081212,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031127,163.18,3,2,2,有,有,10050000,61588,坡道平面,28.7,0,車位未單獨計價，須連同出售,RPOOMLPKJHPFFEF28CA
1225,淡水區,房地(土地+建物)+車位,新北市淡水區淡金路二段211~240號,24.24,住,,,1081201,土地1建物1車位1,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080828,161.22,2,2,2,有,有,10000000,66380,坡道平面,33.17,1500000,,RPWPMLPKJHPFFEF56CA
1227,淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段241~270號,8.71,商,,,1081101,土地1建物1車位1,二十八層,29.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,129.15,2,2,1,有,有,8820000,75185,坡道平面,30.46,1400000,,RPOOMLQKJHPFFEF38CA
1228,淡水區,房地(土地+建物)+車位,新北市淡水區新市三路二段211~240號,10.34,商,,,1081122,土地1建物1車位1,九層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070525,149.24,3,2,2,有,有,10230000,74339,坡道平面,30.46,1400000,,RPPOMLQKJHPFFEF48CA
1230,淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段189巷31~60號,21.38,住,,,1081224,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020223,162.4,3,2,2,有,有,11000000,67734,坡道平面,27.18,0,,RPQSMLKLJHPFFEF48CA
1231,淡水區,房地(土地+建物)+車位,新北市淡水區新市二路一段121~150號,10.72,住,,,1081205,土地1建物1車位1,十五層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061128,104.88,0,0,0,無,有,5300000,59684,坡道平面,37.86,1300000,"房地交易總價含機車停車位價款新台幣50,000元機車停車位面積6.24平方公尺。",RPOQMLLMJHPFFEF28CA
1232,淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段361~390號,29.94,住,,,1081216,土地1建物1車位1,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040819,166.44,3,1,2,有,有,9500000,57078,坡道平面,29.61,0,,RPUPMLOJKHPFFEF88CA
1233,淡水區,房地(土地+建物)+車位,新北市淡水區新市三路一段91~120號,16.92,住,,,1040405,土地1建物1車位1,六層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080222,115.46000000000001,2,1,2,有,有,8680000,81601,坡道平面,25.02,1300000,,RPVNMLPJKHPFFEF88CA
1235,三重區,房地(土地+建物),新北市三重區中正南路151~180號,15.44,住,,,1081223,土地2建物1車位0,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971016,141.01,3,2,2,有,有,18500000,131196,,0.0,0,,RPUSMLSJJHPFFGF07CA
1247,三重區,房地(土地+建物),新北市三重區重新路一段91~120號,5.92,其他,,,1081223,土地1建物1車位0,十七層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,103.73,2,2,1,有,有,15298888,147488,,0.0,0,向政府機關承購之案件。;,RPSNMLMJKHPFFGF48CA
1248,三重區,房地(土地+建物),新北市三重區重新路一段151~180號,4.87,其他,,,1081224,土地1建物1車位0,十層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,89.53,2,2,1,有,有,12523567,139881,,0.0,0,向政府機關承購之案件。;,RPTNMLMJKHPFFGF58CA
1249,三重區,房地(土地+建物),新北市三重區重新路一段121~150號,4.87,其他,,,1081223,土地1建物1車位0,二十二層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,89.66,2,2,1,有,有,13312500,148478,,0.0,0,向政府機關承購之案件。;,RPUNMLMJKHPFFGF68CA
1250,三重區,房地(土地+建物),新北市三重區重新路一段91~120號,5.92,其他,,,1081224,土地1建物1車位0,二十五層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,103.73,2,2,1,有,有,15906000,153340,,0.0,0,向政府機關承購之案件。;,RPVNMLMJKHPFFGF78CA
1251,三重區,房地(土地+建物),新北市三重區重新路一段151~180號,2.44,其他,,,1081225,土地1建物1車位0,二十二層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1011220,46.22,0,0,0,無,有,7830000,169407,,0.0,0,向政府機關承購之案件。;,RPWNMLMJKHPFFGF88CA
1256,中和區,房地(土地+建物),新北市中和區南山路127巷18弄1~30號,10.18,住,,,1080920,土地1建物1車位0,十層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821209,74.62,2,2,1,有,有,10700000,143393,,0.0,0,含增建或未登記建物。;,RPTPMLTJJHPFFHF86CA
1259,永和區,房地(土地+建物),新北市永和區環河西路一段61~90號,8.84,住,,,1081201,土地4建物1車位0,二層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920904,149.55,3,2,2,有,有,15600000,104313,,0.0,0,,RPQOMLTJJHPFFHF09CA
1262,永和區,房地(土地+建物),新北市永和區中和路391~420號,6.59,商,,,1081125,土地2建物1車位0,十四層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850701,94.42999999999999,2,2,1,有,有,13180000,139574,,0.0,0,含增建或未登記建物。;,RPXNMLNKJHPFFHF56CA
1270,中和區,房地(土地+建物),新北市中和區福祥路1~30號,4.99,住,,,1081118,土地3建物1車位0,十七層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871120,56.760000000000005,1,1,1,有,有,7350000,129493,,0.0,0,含增建或未登記建物。;,RPWPMLKKJHPFFHF98CA
1280,三峽區,房地(土地+建物)+車位,新北市三峽區復興路31~60號,8.1,住,,,1081225,土地2建物1車位1,十層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880205,127.59,1,1,1,有,有,7750000,60741,坡道平面,44.31,0,,RPQRMLTJJHPFFIF86CA
1284,樹林區,房地(土地+建物)+車位,新北市樹林區學勤路241~270號,12.09,商,,,1081201,土地1建物1車位1,八層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951101,142.47,2,1,1,有,有,10500000,73700,坡道平面,38.04,0,,RPSNMLKKJHPFFIF48CA
1290,三峽區,房地(土地+建物)+車位,新北市三峽區學府路121~150號,22.1,住,,,1081213,土地1建物1車位1,十四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980420,180.11,4,2,2,有,有,14200000,78841,坡道平面,13.57,0,,RPWNMLNJKHPFFIF56CA
1295,土城區,房地(土地+建物)+車位,新北市土城區清水路207巷1~30號,11.72,商,,,1081212,土地1建物1車位1,十六層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820726,163.09,3,2,2,有,有,14300000,87682,坡道平面,0.0,0,含增建或未登記建物。,RPSPMLTJJHPFFAF78DA
1296,板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段361~390號,9.81,住,,,1081201,土地1建物1車位1,二十八層,43.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990715,212.82,4,2,3,有,有,39000000,203774,坡道平面,33.7,2500000,含增建或未登記建物。,RPRWMLKKJHPFFAF58DA
1297,板橋區,房地(土地+建物)+車位,新北市板橋區南雅南路二段91~120號,19.33,住,,,1081209,土地1建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000602,179.41,3,2,2,有,有,25800000,165684,坡道平面,36.97,2200000,含增建或未登記建物。,RPSWMLKKJHPFFAF68DA
1304,新店區,房地(土地+建物),新北市新店區安民街156巷31~60號,9.97,住,,,1081203,土地1建物1車位0,五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010223,76.3,2,2,1,有,有,9700000,127130,,0.0,0,含增建或未登記建物。共有人2人,RPSRMLPKJHPFFCF88DA
1306,新店區,房地(土地+建物),新北市新店區中興路一段241~270號,9.98,住,,,1081128,土地1建物1車位0,十四層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0861029,100.06,3,2,2,有,有,15600000,155906,,0.0,0,含增建或未登記建物。,RPXSMLQKJHPFFCF96DA
1308,新店區,房地(土地+建物),新北市新店區安民街121巷1~30號,8.79,住,,,1081222,土地1建物1車位0,十五層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841014,68.9,2,2,1,有,有,7000000,101597,,0.0,0,,RPPNMLTJJHPFFCF48DA
1309,淡水區,房地(土地+建物)+車位,新北市淡水區新興街31~60號,32.77,住,,,1081210,土地1建物1車位2,六層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811221,250.22,3,2,2,有,有,9500000,38445,坡道平面,65.54,2400000,含增建或未登記建物。,RPUPMLPKJHPFFEF09DA
1310,淡水區,房地(土地+建物),新北市淡水區濱海路二段202巷61~90號,11.31,住,,,1081120,土地1建物1車位0,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060707,82.22,2,1,1,有,有,5450000,66286,,0.0,0,含增建或未登記建物。,RPWNMLSKJHPFFEF76DA
1313,汐止區,房地(土地+建物)+車位,新北市汐止區湖前街31~60號,13.99,住,,,1081109,土地1建物1車位1,十三層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831024,122.17999999999999,3,2,2,有,有,9960000,81519,坡道平面,0.0,1300000,含增建或未登記建物。,RPVNMLLLJHPFFDF58DA
1314,三重區,房地(土地+建物)+車位,新北市三重區重新路四段91~120號,28.11,住,,,1081207,土地3建物1車位1,七層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0891213,227.5,4,2,2,有,有,21800000,116265,坡道平面,57.2,2000000,含增建或未登記建物。,RPPSMLKLJHPFFGF68DA
1315,蘆洲區,房地(土地+建物),新北市蘆洲區三民路61~90號,9.31,住,,,1081210,土地1建物1車位0,五層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921119,86.5,2,2,1,有,有,11600000,134120,,0.0,0,含增建或未登記建物。,RPQSMLKLJHPFFGF78DA
1319,中和區,房地(土地+建物),新北市中和區中正路811~840號,6.0,住,,,1081221,土地2建物1車位0,十三層,22.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880915,74.75,2,2,1,有,有,8920000,119331,,0.0,0,含增建或未登記建物。,RPSNMLLKJHPFFHF58DA
1322,中和區,房地(土地+建物)+車位,新北市中和區福祥路61~90號,17.78,其他,,,1080324,土地5建物1車位2,二十一層,21.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960828,187.24,4,3,2,有,有,29000000,154881,坡道機械,0.0,2500000,含增建或未登記建物。子母車位不拆價。,RPROMLRKJHPFFHF56DA
1326,樹林區,房地(土地+建物)+車位,新北市樹林區學勤路481~510號,41.47,住,,,1081127,土地1建物1車位1,二十五層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960929,292.04999999999995,5,2,3,有,有,28180000,103431,坡道平面,34.1,1500000,含增建或未登記建物。;,RPWNMLNKJHPFFIF66DA
1340,淡水區,房地(土地+建物)+車位,新北市淡水區濱海路一段306巷9弄31~60號,22.44,住,,,1081206,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020902,154.95,3,2,2,有,有,9000000,58083,坡道平面,25.69,0,,RPQNMLLKKHPFFEF28EA
1342,八里區,房地(土地+建物)+車位,新北市八里區龍米路一段451~480號,15.95,住,,,1081203,土地1建物1車位1,六層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0850923,240.4,3,2,2,有,有,21180000,88103,坡道平面,0.0,0,,RPOSMLKKKHPFFEF48EA
1343,淡水區,房地(土地+建物)+車位,新北市淡水區水源街二段177巷61~90號,27.99,住,,,1081212,土地1建物1車位1,七層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851202,157.44,4,3,2,有,有,7080000,44970,坡道平面,0.0,0,夾層屋,RPVNMLMLJHPFFEF88EA
1345,汐止區,房地(土地+建物)+車位,新北市汐止區樟樹一路151~180號,11.97,住,,,1081206,土地1建物1車位1,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831210,128.37,3,1,2,有,有,11000000,85690,坡道平面,44.1,0,本不動產挑高有作夾層使用。,RPVOMLLLJHPFFDF78EA
1354,淡水區,房地(土地+建物)+車位,新北市淡水區新春街151~180號,20.13,住,,,1081124,土地2建物1車位1,一層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860419,125.66,3,2,2,有,有,7700000,61276,坡道平面,29.22,0,,RPSSMLKKKHPFFEF88EA
1363,樹林區,房地(土地+建物),新北市樹林區學勤路391~420號,10.71,商,,,1081213,土地1建物1車位0,三層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971030,100.37,2,1,1,有,無,10000000,99631,,0.0,0,,RPUOMLOKJHPFFIF66DA
1364,樹林區,房地(土地+建物)+車位,新北市樹林區學勤路391~420號,10.71,商,,,1081220,土地1建物1車位1,二十三層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971030,140.2,2,2,1,有,有,11500000,102620,坡道平面,39.83,1200000,,RPSPMLOKJHPFFIF56DA
1365,板橋區,房地(土地+建物),新北市板橋區文化路二段182巷1弄31~60號,3.15,商,,,1081213,土地4建物1車位0,六層,19.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0851021,45.54,2,1,1,有,有,9100000,199824,,0.0,0,,RPRNMLKKJHPFFAF77EA
1367,中和區,房地(土地+建物),新北市中和區秀朗路三段175巷1~30號,13.84,住,,,1081018,土地7建物1車位0,二十層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850108,130.03,4,2,2,有,有,16400000,126125,,0.0,0,含增建或未登記建物。,RPSOMLNKJHPFFHF88DA
1371,中和區,房地(土地+建物)+車位,新北市中和區中興街211~240號,15.44,住,,,1081214,土地1建物1車位1,二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971009,138.2,3,2,2,有,有,16000000,120533,坡道平面,20.39,1800000,含增建或未登記建物。,RPVQMLKKJHPFFHF09DA
1377,汐止區,房地(土地+建物)+車位,新北市汐止區湖前街110巷97弄1~30號,36.97,,山坡地保育區,丙種建築用地,1081219,土地4建物1車位1,二十五層,25.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0881202,142.64,3,2,2,有,有,10660000,74734,坡道機械,24.63,0,,RPRPMLOKJHPFFDF58DA
1378,淡水區,房地(土地+建物)+車位,新北市淡水區中山北路三段31巷61~90號,21.67,住,,,1081215,土地1建物1車位1,十三層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010521,138.10000000000002,3,2,2,有,有,9700000,71758,坡道平面,21.04,1300000,,RPPSMLNKJHPFFEF68DA
1383,汐止區,房地(土地+建物),新北市汐止區福德一路12巷31~60號,15.2,住,,,1081213,土地1建物1車位0,十三層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850215,110.28,3,2,2,有,有,9150000,82971,,0.0,0,含增建或未登記建物。,RPSPMLNKJHPFFDF58DA
1385,淡水區,房地(土地+建物)+車位,新北市淡水區中山北路二段381巷91~120號,22.74,住,,,1081129,土地1建物1車位1,十二層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980904,163.58999999999997,3,2,2,有,有,11080000,70864,坡道平面,25.58,1300000,,RPPQMLRKJHPFFEF88DA
1386,淡水區,房地(土地+建物)+車位,新北市淡水區新市一路三段1~30號,20.85,住,,,1081128,土地1建物1車位1,十層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990105,145.89,2,2,2,有,有,9500000,70204,坡道平面,29.8,1350000,,RPPPMLOKJHPFFEF48DA
1391,汐止區,房地(土地+建物),新北市汐止區建成路1~30號,14.69,住,,,1081218,土地1建物1車位0,二層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850624,91.07000000000001,3,2,2,有,有,7800000,85648,,0.0,0,,RPSNMLMKJHPFFDF28DA
1393,汐止區,房地(土地+建物),新北市汐止區康寧街721~750號,18.74,其他,,,1081201,土地2建物1車位0,二層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980526,95.77,2,2,1,有,有,8630000,90112,,0.0,0,含增建或未登記建物。,RPQNMLMKJHPFFDF08DA
1396,新莊區,房地(土地+建物),新北市新莊區中信街61~90號,7.56,其他,,,1081214,土地1建物1車位0,十層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870808,73.27,2,1,1,有,有,7550000,103044,,0.0,0,含增建或未登記建物。,RPSQMLOKJHPFFBF58DA
1405,板橋區,房地(土地+建物)+車位,新北市板橋區松柏街50巷31~60號,29.05,住,,,1081114,土地1建物1車位1,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000826,203.41,4,2,2,有,有,33800000,186747,坡道平面,37.41,2800000,含增建或未登記建物。;,RPRPMLNKJHPFFAF18DA
1406,樹林區,房地(土地+建物)+車位,新北市樹林區大雅路391~420號,22.97,住,,,1081130,土地1建物1車位1,九層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960629,155.55,4,2,2,有,有,13800000,88717,坡道機械,16.02,0,,RPSNMLRJKHPFFIF56CA
1465,永和區,房地(土地+建物),新北市永和區中和路421巷3弄1~30號,2.67,商,,,1081230,土地2建物1車位0,九層,16.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850701,37.63,1,1,1,有,有,4650000,123572,,0.0,0,大套房臥室屬開放型,RPPQMLKKJHPFFHF38CA
1484,蘆洲區,房地(土地+建物),新北市蘆洲區民族路31~60號,8.0,其他,,,1081113,土地1建物1車位0,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870826,97.83,3,2,1,有,有,9280000,94858,,0.0,0,,RPVNMLLLJHPFFGF78CA
1493,蘆洲區,房地(土地+建物)+車位,新北市蘆洲區三民路571~600號,14.89,商,,,1081201,土地1建物1車位1,十三層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041230,165.66,3,2,2,有,有,20580000,124230,坡道平面,21.62,0,,RPVOMLKKJHPFFGF68CA
1495,三重區,房地(土地+建物)+車位,新北市三重區永福街271~300號,20.1,住,,,1081004,土地1建物1車位1,四層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850208,120.61000000000001,3,2,2,有,有,12900000,106956,坡道機械,0.0,0,,RPPPMLNKJHPFFGF48CA
1505,淡水區,房地(土地+建物)+車位,新北市淡水區新市五路三段271~300號,8.22,商,,,1081205,土地1建物1車位1,十二層,26.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1061229,121.65,2,1,1,有,有,7400000,69376,坡道平面,30.84,1100000,,RPUOMLOJKHPFFEF78CA
1506,淡水區,房地(土地+建物)+車位,新北市淡水區沙崙路一段91~120號,27.96,住,,,1021230,土地1建物1車位1,四層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080306,172.69,3,2,2,有,有,11850000,74690,坡道平面,30.1,1200000,,RPSNMLLMJHPFFEF38CA
