鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
松山區,房地(土地+建物),臺北市松山區民生東路五段137巷1~30號,14.97,商,,,1081206,土地1建物1車位0,八層，陽台,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0660119,129.31,3,2,2,有,有,27000000,208801,,0.0,0,,RPROMLNJJHPFFDA67CA
南港區,房地(土地+建物),臺北市南港區重陽路166巷4弄1~30號,30.0,住,,,1081206,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,59.64,2,2,2,有,無,7250000,121563,,0.0,0,含增建或未登記建物。;,RPSOMLNJJHPFFDA77CA
南港區,房地(土地+建物),臺北市南港區研究院路一段91~120號,13.82,商,,,1081119,土地1建物1車位0,六層，電梯樓梯間,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0871109,108.0,3,2,2,有,有,19800000,183333,,0.0,0,,RPVOMLNJJHPFFDA08CA
松山區,房地(土地+建物),臺北市松山區新東街54巷1~30號,37.75,住,,,1081209,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0630531,95.98,3,2,1,有,無,16080000,167535,,0.0,0,,RPTPMLNJJHPFFDA97CA
松山區,土地,西松段一小段691~720地號,329.06,其他,,,1081203,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,57000000,173221,,0.0,0,包含公共設施保留地之交易。;,RPXOMLRJJHPFFDA68CA
南港區,房地(土地+建物)+車位,臺北市南港區東新街121~150號,32.08,住,,,1081217,土地3建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990331,206.16,3,2,2,有,有,45000000,218277,坡道機械,0.0,0,,RPPPMLKKJHPFFDA37CA
信義區,房地(土地+建物),臺北市信義區松德路271~300號,33.0,住,,,1081101,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,114.25,3,2,1,有,無,13000000,113786,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPUPMLOKJHPFFDA28CA
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路四段541~570號,35.32,住,,,1080104,土地2建物1車位2,二十七層,三十層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070920,413.7,0,0,0,無,無,227300000,647705,坡道平面,75.12,8000000,1.本案為預售毛胚屋;雨遮5.83平方公尺不計價2.二車位未拆分單價,RPPNMLKMJHPFFDA37CA
士林區,房地(土地+建物),臺北市士林區中正路187巷31~60號,18.17,商,,,1081117,土地2建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740916,79.44000000000001,3,2,1,有,無,14900000,187563,,0.0,0,,RPROMLMJJHPFFEA67CA
士林區,房地(土地+建物),臺北市士林區中正路661~690號,34.64,住,,,1081121,土地1建物1車位0,四層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790531,172.59,4,2,2,有,有,20500000,118779,,0.0,0,含增建或未登記建物。;,RPQNMLNJJHPFFEA57CA
