鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北屯區,房地(土地+建物)+車位,臺中市北屯區崇德二路一段157巷1~30號,17.15,住,,,1081205,土地1建物1車位1,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830825,103.24000000000001,2,2,2,有,有,5330000,51632,坡道機械,0.0,0,,RPPRMLNJJHPFFBB67CA
北屯區,房地(土地+建物),臺中市北屯區東山路二段100巷20弄1~30號,298.53,住,,,1081203,土地6建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,0851109,155.97,4,2,4,有,有,7900000,50651,,0.0,0,,RPRTMLNJJHPFFBB08CA
北區,房地(土地+建物),臺中市北區中清路一段61~90號,2.49,住,,,1081217,土地2建物1車位0,九層,十三層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0850601,31.92,1,1,1,有,有,1380000,43233,,0.0,0,,RPQOMLOJJHPFFBB57CA
北屯區,房地(土地+建物)+車位,臺中市北屯區東光路871~900號,11.5,住,,,1081129,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0810401,135.03,3,2,2,有,有,5530000,40954,坡道機械,0.0,0,,RPROMLOJJHPFFBB67CA
北屯區,房地(土地+建物),臺中市北屯區中清路二段808巷1~30號,8.6,住,,,1081201,土地2建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880407,79.72999999999999,2,1,1,有,有,4600000,57695,,0.0,0,,RPTSMLQJJHPFFBB48CA
北區,房地(土地+建物),臺中市北區梅亭東街36巷1~30號,15.44,住,,,1081124,土地1建物2車位0,二層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0790317,93.03,2,2,1,有,有,4000000,42997,,0.0,0,,RPRNMLRJJHPFFBB87CA
北屯區,房地(土地+建物),臺中市北屯區興安路二段451~480號,20.03,住,,,1081201,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841104,158.72,4,2,2,有,有,7300000,45993,,0.0,0,,RPROMLRJJHPFFBB97CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.43,商,,,1080929,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,159.45999999999998,3,2,2,有,有,10500000,74416,坡道平面,35.83,1300000,,RPRRMLRJJHPFFBB28CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.43,商,,,1070615,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,158.85,3,2,2,有,有,10650000,75191,坡道平面,35.83,1400000,,RPSRMLRJJHPFFBB38CA
北屯區,房地(土地+建物)+車位,臺中市北屯區河北西街61~90號,14.22,商,,,1080620,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1081121,153.23000000000002,3,2,2,有,有,10180000,73448,坡道平面,33.69,1400000,,RPTRMLRJJHPFFBB48CA
