鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
觀音區,房地(土地+建物),桃園市觀音區吉祥街65巷61~90號,17.49,,工業區,丁種建築用地,1081209,土地1建物1車位0,二層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081017,68.75,2,1,1,有,有,3200000,46545,,0.0,0,,RPWPMLNJJHPFFBH78CA
觀音區,房地(土地+建物),桃園市觀音區吉祥街65巷61~90號,17.49,,工業區,丁種建築用地,1081210,土地1建物1車位0,四層,五層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1081017,68.75,2,1,1,有,有,3200000,46545,,0.0,0,,RPSQMLNJJHPFFBH48CA
中壢區,土地,青平段361~390地號,1465.82,住,,,1081107,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,261850000,178637,,0.0,0,,RPURMLNJJHPFFBH78CA
觀音區,房地(土地+建物)+車位,桃園市觀音區福祥街121~150號,21.96,住,,,1080628,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1080507,103.36,3,1,2,有,有,6300000,57471,坡道平面,13.75,1150000,,RPPOMLOJJHPFFBH08CA
中壢區,土地,青平段361~390地號,772.27,住,,,1081010,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,87600000,113432,,0.0,0,,RPPNMLQJJHPFFBH18CA
中壢區,土地,忠福段2521~2550地號,81.12,其他,,,1081217,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8101500,99871,,0.0,0,,RPQPMLQJJHPFFBH48CA
中壢區,房地(土地+建物),桃園市中壢區仁福三街61~90號,10.44,住,,,1081204,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830524,89.4,3,2,2,有,無,3500000,39150,,0.0,0,,RPRPMLQJJHPFFBH58CA
中壢區,房地(土地+建物),桃園市中壢區福州一街241~270號,7.31,住,,,1081219,土地1建物3車位0,地下一層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0840307,49.91,0,0,0,無,有,1150000,23041,,0.0,0,地下室買賣,RPQNMLRJJHPFFBH38CA
中壢區,房地(土地+建物)+車位,桃園市中壢區青峰路一段31~60號,27.02,商,,,1081209,土地1建物1車位1,七層,十四層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,1051010,208.7,0,1,1,有,有,21680000,103881,坡道平面,26.47,0,,RPPQMLRJJHPFFBH58CA
中壢區,房地(土地+建物),桃園市中壢區中正路三段316巷78弄31~60號,134.53,,鄉村區,乙種建築用地,1081218,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1061220,327.71,5,2,6,有,無,20000000,61030,,0.0,0,,RPTNMLSJJHPFFBH78CA
